carat,depth,table,x,y,z,price,cut
0.32,63.8,56.0,4.36,4.38,2.79,403,Good
0.25,63.3,60.0,4.0,4.03,2.54,404,Very Good
0.29,60.7,60.0,4.33,4.37,2.64,404,Very Good
0.24,60.9,61.0,4.02,4.03,2.45,404,Very Good
0.23,61.9,54.0,3.93,3.95,2.44,404,Ideal
0.32,60.9,55.0,4.45,4.48,2.72,404,Ideal
0.22,61.6,58.0,3.93,3.89,2.41,404,Premium
0.22,59.3,62.0,3.91,3.88,2.31,404,Premium
0.3,61.0,59.0,4.3,4.33,2.63,405,Ideal
0.3,59.3,61.0,4.43,4.38,2.61,405,Premium
0.3,62.6,57.0,4.25,4.28,2.67,405,Very Good
0.3,63.0,57.0,4.28,4.32,2.71,405,Very Good
0.3,63.2,55.0,4.25,4.29,2.7,405,Good
0.35,60.9,57.0,4.54,4.59,2.78,552,Ideal
0.3,62.6,59.0,4.23,4.27,2.66,552,Premium
0.3,62.5,57.0,4.29,4.32,2.69,552,Ideal
0.3,62.1,56.0,4.3,4.33,2.68,552,Ideal
0.42,61.5,59.0,4.78,4.84,2.96,552,Premium
0.28,61.4,56.0,4.19,4.22,2.58,553,Ideal
0.32,62.0,55.3,4.39,4.42,2.73,553,Ideal
0.31,63.3,57.0,4.33,4.3,2.73,553,Very Good
0.31,61.8,58.0,4.35,4.32,2.68,553,Premium
0.24,60.7,58.0,4.01,4.03,2.44,553,Premium
0.24,61.5,60.0,3.97,4.0,2.45,553,Very Good
0.3,63.1,56.0,4.29,4.27,2.7,554,Very Good
0.3,62.9,59.0,4.28,4.24,2.68,554,Premium
0.3,62.5,57.0,4.29,4.25,2.67,554,Premium
0.3,63.7,57.0,4.28,4.26,2.72,554,Good
0.26,59.2,60.0,4.19,4.22,2.49,554,Very Good
0.26,59.9,58.0,4.15,4.23,2.51,554,Very Good
0.26,62.4,54.0,4.08,4.13,2.56,554,Very Good
0.26,62.8,60.0,4.01,4.05,2.53,554,Very Good
0.26,62.6,59.0,4.06,4.09,2.55,554,Very Good
0.26,63.4,59.0,4.0,4.04,2.55,554,Very Good
0.26,62.1,60.0,4.03,4.12,2.53,554,Very Good
0.26,62.9,58.0,4.02,4.06,2.54,554,Ideal
0.38,61.6,56.0,4.65,4.67,2.87,554,Ideal
0.26,57.9,60.0,4.22,4.25,2.45,554,Good
0.24,62.3,59.0,3.95,3.92,2.45,554,Premium
0.24,61.2,58.0,4.01,3.96,2.44,554,Premium
0.24,60.8,59.0,4.02,4.0,2.44,554,Premium
0.24,60.7,58.0,4.07,4.04,2.46,554,Premium
0.32,62.9,58.0,4.35,4.33,2.73,554,Premium
0.7,62.5,57.0,5.7,5.72,3.57,2757,Ideal
0.86,55.1,69.0,6.45,6.33,3.52,2757,Fair
0.7,61.6,56.0,5.7,5.67,3.5,2757,Ideal
0.71,62.4,57.0,5.68,5.73,3.56,2759,Very Good
0.78,63.8,56.0,5.81,5.85,3.72,2759,Very Good
0.7,57.5,58.0,5.85,5.9,3.38,2759,Good
0.7,59.4,62.0,5.71,5.76,3.4,2759,Good
0.96,66.3,62.0,6.27,5.95,4.07,2759,Fair
0.73,61.6,59.0,5.77,5.78,3.56,2760,Very Good
0.8,61.5,58.0,5.97,5.93,3.66,2760,Premium
0.75,63.2,56.0,5.8,5.75,3.65,2760,Very Good
0.75,59.9,54.0,6.0,5.96,3.58,2760,Premium
0.74,61.6,55.0,5.8,5.85,3.59,2760,Ideal
0.75,61.7,58.0,5.85,5.79,3.59,2760,Premium
0.8,62.9,56.0,5.94,5.87,3.72,2760,Ideal
0.75,62.2,55.0,5.87,5.8,3.63,2760,Ideal
0.8,63.0,59.0,5.9,5.81,3.69,2760,Premium
0.74,62.3,55.0,5.77,5.81,3.61,2761,Ideal
0.81,58.8,57.0,6.14,6.11,3.6,2761,Ideal
0.59,62.0,55.0,5.38,5.43,3.35,2761,Ideal
0.8,61.4,57.0,5.96,6.0,3.67,2761,Ideal
0.74,62.2,56.0,5.8,5.84,3.62,2761,Ideal
0.9,63.0,58.0,6.16,6.12,3.87,2761,Premium
0.74,62.2,59.0,5.73,5.82,3.59,2762,Very Good
0.73,62.6,56.0,5.77,5.74,3.6,2762,Ideal
0.73,62.7,53.0,5.8,5.75,3.62,2762,Ideal
0.8,61.7,58.0,5.98,5.94,3.68,2762,Premium
0.71,62.4,54.0,5.72,5.76,3.58,2762,Ideal
0.7,60.7,58.0,5.73,5.76,3.49,2762,Ideal
0.8,59.9,59.0,6.01,6.07,3.62,2762,Ideal
0.71,62.3,56.0,5.73,5.69,3.56,2762,Ideal
0.74,62.3,54.0,5.8,5.83,3.62,2762,Ideal
0.7,61.7,63.0,5.64,5.61,3.47,2762,Very Good
0.7,64.5,57.0,5.57,5.53,3.58,2762,Fair
0.7,65.3,55.0,5.63,5.58,3.66,2762,Fair
0.7,61.6,60.0,5.65,5.59,3.46,2762,Premium
0.91,61.4,56.0,6.09,5.97,3.7,2763,Premium
0.61,59.6,57.0,5.56,5.58,3.32,2763,Very Good
0.91,64.4,57.0,6.11,6.09,3.93,2763,Fair
0.91,65.7,60.0,6.03,5.99,3.95,2763,Fair
0.77,62.0,56.0,5.89,5.86,3.64,2763,Ideal
0.71,63.6,58.0,5.64,5.68,3.6,2764,Very Good
0.71,61.9,59.0,5.69,5.72,3.53,2764,Ideal
0.7,62.6,60.0,5.62,5.65,3.53,2765,Very Good
0.77,61.3,60.0,5.88,5.9,3.61,2765,Very Good
0.63,60.9,60.0,5.52,5.55,3.37,2765,Premium
0.71,60.1,62.0,5.74,5.77,3.46,2765,Very Good
0.71,61.8,59.0,5.69,5.73,3.53,2765,Premium
0.76,61.2,57.0,5.88,5.91,3.61,2765,Ideal
0.64,61.9,56.0,5.53,5.56,3.43,2766,Ideal
0.71,60.9,57.0,5.78,5.75,3.51,2766,Premium
0.71,59.8,56.0,5.89,5.81,3.5,2766,Premium
0.7,61.8,55.0,5.68,5.72,3.52,2767,Very Good
0.7,60.0,57.0,5.8,5.87,3.5,2767,Very Good
0.71,61.6,55.0,5.74,5.76,3.54,2767,Ideal
0.7,62.1,64.0,5.62,5.65,3.5,2767,Good
0.71,63.3,59.0,5.52,5.61,3.52,2768,Very Good
0.73,60.2,56.0,5.83,5.87,3.52,2768,Very Good
0.7,61.1,58.0,5.66,5.73,3.48,2768,Very Good
0.7,60.9,57.0,5.73,5.76,3.5,2768,Ideal
0.71,61.7,59.0,5.71,5.67,3.51,2768,Premium
0.74,61.3,56.0,5.82,5.86,3.57,2769,Ideal
0.71,62.5,60.0,5.65,5.61,3.52,2770,Premium
0.73,61.4,59.0,5.83,5.76,3.56,2770,Premium
0.76,62.9,57.0,5.79,5.81,3.65,2770,Very Good
0.76,62.4,57.0,5.78,5.83,3.62,2770,Ideal
0.71,60.7,56.0,5.77,5.8,3.51,2770,Ideal
0.73,60.7,58.0,5.87,5.82,3.55,2770,Premium
0.73,61.5,58.0,5.79,5.75,3.55,2770,Premium
0.73,59.9,57.0,5.92,5.89,3.54,2770,Ideal
0.73,59.2,59.0,5.92,5.87,3.49,2770,Premium
0.72,60.3,56.0,5.81,5.83,3.51,2771,Very Good
0.73,61.7,60.0,5.79,5.82,3.58,2771,Very Good
0.71,61.9,57.0,5.73,5.77,3.56,2771,Ideal
0.79,61.9,55.0,5.97,5.92,3.68,2771,Ideal
0.73,60.4,59.0,5.83,5.89,3.54,2772,Very Good
0.8,61.0,57.0,6.01,6.03,3.67,2772,Very Good
0.58,61.5,55.0,5.39,5.44,3.33,2772,Ideal
0.58,61.7,56.0,5.33,5.37,3.3,2772,Ideal
0.71,59.2,61.0,5.8,5.88,3.46,2772,Good
0.75,61.3,56.0,5.85,5.89,3.6,2773,Ideal
0.7,58.0,62.0,5.87,5.78,3.38,2773,Premium
1.17,60.2,61.0,6.83,6.9,4.13,2774,Very Good
0.6,61.7,55.0,5.41,5.44,3.35,2774,Ideal
0.7,62.7,55.0,5.68,5.74,3.58,2774,Ideal
0.83,64.6,54.0,5.85,5.88,3.79,2774,Good
0.74,61.3,61.0,5.8,5.84,3.57,2775,Very Good
0.72,63.7,56.4,5.62,5.69,3.61,2776,Very Good
0.71,62.7,58.0,5.74,5.68,3.58,2776,Premium
0.71,62.2,57.0,5.79,5.62,3.55,2776,Ideal
0.54,61.6,56.0,5.25,5.27,3.24,2776,Ideal
0.54,61.5,57.0,5.24,5.26,3.23,2776,Ideal
0.72,61.8,56.0,5.72,5.75,3.55,2776,Ideal
0.72,60.7,56.0,5.79,5.82,3.53,2776,Ideal
0.72,59.7,60.5,5.8,5.84,3.47,2776,Good
0.71,60.5,56.0,5.8,5.76,3.5,2776,Ideal
0.7,62.7,58.0,5.66,5.73,3.57,2777,Very Good
0.71,62.1,58.0,5.67,5.7,3.53,2777,Premium
0.71,62.8,57.0,5.64,5.69,3.56,2777,Very Good
0.71,63.8,58.0,5.61,5.64,3.59,2777,Good
0.71,57.8,60.0,5.87,5.9,3.4,2777,Good
0.7,62.1,55.0,5.7,5.67,3.53,2777,Ideal
0.7,61.1,60.0,5.71,5.64,3.47,2777,Premium
0.7,60.0,59.0,5.79,5.75,3.46,2777,Premium
0.7,61.2,57.0,5.73,5.68,3.49,2777,Premium
0.7,62.7,59.0,5.67,5.63,3.54,2777,Premium
0.7,61.0,57.0,5.73,5.68,3.48,2777,Premium
0.7,61.0,58.0,5.78,5.72,3.51,2777,Premium
0.7,61.4,57.0,5.76,5.7,3.52,2777,Ideal
0.72,61.8,61.0,5.82,5.71,3.56,2777,Premium
0.7,59.9,63.0,5.76,5.7,3.43,2777,Very Good
0.7,61.3,58.0,5.71,5.68,3.49,2777,Premium
0.7,60.5,58.0,5.77,5.74,3.48,2777,Premium
0.7,64.1,59.0,5.64,5.59,3.6,2777,Good
0.98,67.9,60.0,6.05,5.97,4.08,2777,Fair
0.78,62.4,58.0,5.83,5.8,3.63,2777,Premium
0.7,63.2,60.0,5.6,5.51,3.51,2777,Very Good
0.52,61.3,55.0,5.19,5.22,3.19,2778,Ideal
0.73,60.8,56.0,5.82,5.84,3.55,2779,Very Good
0.74,61.7,56.0,5.84,5.8,3.59,2779,Ideal
0.7,63.6,57.0,5.61,5.65,3.58,2780,Very Good
0.77,61.2,58.0,5.9,5.93,3.62,2780,Premium
0.71,62.1,54.0,5.68,5.72,3.54,2780,Ideal
0.74,61.5,55.0,5.81,5.86,3.59,2780,Ideal
0.7,61.4,59.0,5.64,5.73,3.49,2780,Ideal
1.01,61.8,60.0,6.39,6.36,3.94,2781,Premium
0.77,62.2,56.0,5.83,5.88,3.64,2781,Ideal
0.78,61.2,56.0,5.92,5.99,3.64,2781,Ideal
0.72,60.6,63.0,5.83,5.76,3.51,2782,Very Good
0.53,57.5,64.0,5.34,5.37,3.08,2782,Very Good
0.76,61.3,56.0,5.9,5.94,3.63,2782,Ideal
0.7,57.2,62.0,5.81,5.77,3.31,2782,Good
0.7,62.9,60.0,5.62,5.54,3.51,2782,Premium
0.75,63.1,58.0,5.78,5.73,3.63,2782,Very Good
0.72,60.8,57.0,5.76,5.75,3.5,2782,Ideal
0.72,62.7,59.0,5.73,5.69,3.58,2782,Premium
0.7,62.8,60.0,5.68,5.66,3.56,2782,Premium
0.84,55.1,67.0,6.39,6.2,3.47,2782,Fair
0.75,61.4,59.0,5.88,5.85,3.6,2782,Premium
0.52,62.2,55.0,5.14,5.18,3.21,2783,Ideal
0.72,63.0,54.0,5.69,5.73,3.6,2784,Very Good
0.79,63.7,56.0,5.85,5.92,3.75,2784,Very Good
0.72,63.6,58.0,5.66,5.69,3.61,2787,Very Good
0.51,62.0,57.0,5.11,5.15,3.18,2787,Ideal
0.64,61.5,56.0,5.54,5.55,3.41,2787,Ideal
0.7,60.5,60.0,5.74,5.77,3.48,2788,Very Good
0.83,61.1,60.0,6.07,6.1,3.72,2788,Very Good
0.76,61.8,56.0,5.85,5.87,3.62,2788,Ideal
0.71,63.3,56.0,5.64,5.68,3.58,2788,Good
0.77,59.4,64.0,5.97,5.92,3.53,2788,Good
0.71,62.5,55.0,5.71,5.65,3.55,2788,Ideal
1.01,64.5,58.0,6.29,6.21,4.03,2788,Fair
1.01,62.7,59.0,6.31,6.22,3.93,2788,Premium
0.77,64.2,52.0,5.81,5.77,3.72,2789,Good
0.76,63.7,54.0,5.76,5.85,3.7,2789,Good
0.76,60.4,58.0,5.92,5.94,3.58,2789,Premium
0.76,61.8,58.0,5.82,5.86,3.61,2789,Premium
1.05,63.2,56.0,6.49,6.45,4.09,2789,Very Good
0.81,61.6,56.0,5.97,6.01,3.69,2789,Ideal
0.7,61.6,56.0,5.72,5.75,3.53,2789,Ideal
0.55,60.9,57.0,5.28,5.3,3.22,2789,Ideal
0.81,61.0,61.0,5.94,5.99,3.64,2789,Good
0.63,62.1,57.0,5.48,5.41,3.38,2789,Premium
0.63,60.9,60.0,5.55,5.52,3.37,2789,Premium
0.77,61.3,60.0,5.9,5.88,3.61,2789,Premium
1.05,65.8,59.0,6.41,6.27,4.18,2789,Fair
0.64,61.3,56.0,5.54,5.58,3.41,2790,Ideal
0.76,58.8,59.0,6.0,5.94,3.51,2790,Premium
0.83,62.3,55.0,6.02,6.05,3.76,2790,Ideal
0.71,60.1,62.0,5.77,5.74,3.46,2790,Premium
0.71,61.8,59.0,5.73,5.69,3.53,2790,Premium
0.87,63.6,55.8,6.07,6.1,3.87,2791,Very Good
0.73,62.2,56.0,5.74,5.78,3.58,2791,Ideal
0.71,59.2,59.0,5.83,5.86,3.46,2792,Premium
0.71,61.8,59.0,5.7,5.75,3.54,2792,Premium
0.71,61.3,55.0,5.72,5.77,3.52,2792,Ideal
0.7,62.1,60.0,5.71,5.65,3.53,2792,Premium
0.7,60.7,60.0,5.78,5.75,3.5,2792,Premium
0.76,59.6,57.0,5.91,5.86,3.51,2792,Premium
0.7,62.2,56.0,5.73,5.68,3.55,2792,Ideal
0.79,60.6,57.0,5.98,6.06,3.65,2793,Very Good
0.7,62.9,57.0,5.66,5.69,3.57,2793,Very Good
0.7,64.1,55.0,5.6,5.66,3.61,2793,Good
0.76,61.3,56.0,5.87,5.91,3.61,2793,Ideal
0.73,62.7,55.0,5.72,5.76,3.6,2793,Ideal
0.79,63.2,56.0,5.91,5.86,3.72,2794,Very Good
0.71,60.7,56.0,5.81,5.82,3.53,2795,Very Good
0.81,61.9,60.0,5.91,5.86,3.64,2795,Premium
0.81,62.6,55.0,5.92,5.96,3.72,2795,Ideal
0.72,60.7,60.0,5.74,5.72,3.48,2795,Good
0.72,62.0,60.0,5.73,5.69,3.54,2795,Premium
0.72,63.0,57.0,5.72,5.7,3.6,2795,Premium
0.81,58.0,59.0,6.17,6.13,3.57,2795,Premium
0.72,62.9,57.0,5.73,5.65,3.58,2795,Premium
1.0,58.2,60.0,6.61,6.55,3.83,2795,Premium
0.73,63.2,58.0,5.7,5.76,3.62,2796,Good
0.81,61.3,59.0,5.94,6.01,3.66,2797,Very Good
0.81,60.3,60.0,6.07,6.1,3.67,2797,Very Good
0.71,62.7,60.0,5.67,5.71,3.57,2797,Premium
0.71,61.3,58.0,5.73,5.75,3.52,2797,Premium
0.71,61.6,60.0,5.74,5.69,3.52,2797,Premium
0.57,61.9,55.0,5.34,5.35,3.31,2797,Ideal
0.51,61.7,56.0,5.12,5.16,3.17,2797,Ideal
0.72,61.9,58.0,5.72,5.75,3.55,2797,Ideal
0.74,61.8,58.0,5.77,5.81,3.58,2797,Ideal
0.74,61.6,56.0,5.81,5.82,3.58,2797,Ideal
0.7,58.8,66.0,5.81,5.9,3.44,2797,Fair
0.8,61.0,57.0,6.03,6.01,3.67,2797,Premium
1.01,67.4,60.0,6.19,6.05,4.13,2797,Fair
0.8,63.4,60.0,5.92,5.82,3.72,2797,Very Good
0.77,61.5,59.0,5.87,5.91,3.62,2798,Ideal
0.83,58.0,62.0,6.19,6.25,3.61,2799,Very Good
0.82,62.4,54.0,5.97,6.02,3.74,2799,Ideal
0.78,61.9,57.0,5.91,5.86,3.64,2799,Ideal
0.6,61.6,56.0,5.43,5.46,3.35,2800,Very Good
0.9,62.2,59.0,6.07,6.11,3.79,2800,Good
0.7,62.2,58.0,5.6,5.66,3.5,2800,Premium
0.9,61.3,56.0,6.17,6.23,3.8,2800,Very Good
0.83,62.3,57.0,5.99,6.08,3.76,2800,Ideal
0.83,61.8,57.0,6.03,6.07,3.74,2800,Ideal
0.83,62.5,59.0,5.95,6.02,3.74,2800,Very Good
0.74,62.9,60.0,5.74,5.68,3.59,2800,Premium
0.79,61.8,59.0,5.92,5.95,3.67,2800,Ideal
0.61,62.3,56.0,5.43,5.45,3.39,2800,Ideal
0.76,59.0,70.0,5.89,5.8,3.46,2800,Fair
0.96,60.7,55.0,6.37,6.41,3.88,2801,Ideal
0.73,62.5,55.0,5.8,5.76,3.61,2801,Ideal
0.73,62.7,58.0,5.76,5.7,3.59,2801,Premium
0.75,60.4,57.0,5.93,5.96,3.59,2801,Ideal
0.71,62.1,58.0,5.7,5.67,3.53,2801,Premium
0.71,57.8,60.0,5.9,5.87,3.4,2801,Good
0.71,63.8,58.0,5.64,5.61,3.59,2801,Good
0.71,62.8,57.0,5.69,5.64,3.56,2801,Premium
1.04,62.2,58.0,6.46,6.41,4.0,2801,Premium
1.0,62.3,58.0,6.45,6.34,3.98,2801,Premium
0.87,59.9,58.0,6.19,6.23,3.72,2802,Very Good
0.53,61.9,54.0,5.22,5.25,3.24,2802,Ideal
0.72,63.0,55.0,5.79,5.61,3.59,2802,Premium
0.72,62.4,58.0,5.83,5.7,3.6,2802,Premium
0.7,62.9,58.0,5.63,5.65,3.55,2803,Very Good
0.74,63.5,56.0,5.74,5.79,3.66,2803,Very Good
0.71,61.3,56.0,5.75,5.71,3.51,2803,Ideal
0.73,60.6,54.0,5.84,5.89,3.55,2803,Ideal
0.7,65.1,58.0,5.56,5.59,3.63,2803,Good
0.71,62.6,58.0,5.7,5.67,3.56,2803,Premium
0.71,58.0,62.0,5.85,5.81,3.38,2803,Premium
0.71,62.4,61.0,5.7,5.65,3.54,2803,Premium
0.77,61.3,57.0,5.93,5.88,3.62,2803,Premium
0.71,59.9,60.0,5.81,5.77,3.47,2803,Premium
0.78,60.8,58.0,6.03,5.95,3.64,2803,Premium
0.71,63.5,55.0,5.66,5.64,3.59,2803,Very Good
0.91,62.2,57.0,6.21,6.15,3.85,2803,Ideal
0.71,63.8,58.0,5.62,5.66,3.6,2804,Very Good
0.71,64.0,57.0,5.66,5.68,3.63,2804,Very Good
0.8,62.5,56.0,5.88,5.96,3.7,2804,Very Good
0.7,62.3,58.0,5.69,5.73,3.56,2804,Very Good
0.72,61.7,57.0,5.74,5.77,3.55,2804,Ideal
0.72,62.2,58.0,5.75,5.7,3.56,2804,Very Good
0.82,61.5,56.0,6.01,6.08,3.72,2804,Ideal
0.7,61.0,59.0,5.68,5.7,3.47,2804,Ideal
0.72,62.2,56.0,5.74,5.77,3.58,2804,Ideal
0.72,61.5,54.0,5.77,5.8,3.56,2804,Ideal
0.9,67.3,59.0,5.93,5.84,3.96,2804,Fair
0.74,61.7,58.0,5.85,5.78,3.59,2805,Premium
0.74,61.9,56.0,5.8,5.77,3.58,2805,Premium
0.73,61.8,58.0,5.77,5.81,3.58,2805,Ideal
0.57,58.7,66.0,5.34,5.43,3.16,2805,Fair
0.73,62.5,57.0,5.75,5.7,3.58,2805,Premium
0.72,62.8,56.0,5.74,5.7,3.59,2805,Ideal
0.74,61.1,68.0,5.82,5.75,3.53,2805,Fair
0.82,64.0,57.0,5.92,5.89,3.78,2805,Good
0.81,62.5,60.0,5.89,5.94,3.69,2806,Very Good
0.75,60.6,58.0,5.85,5.9,3.56,2806,Very Good
0.7,61.6,55.0,5.72,5.74,3.53,2806,Ideal
0.71,62.2,58.0,5.66,5.72,3.54,2807,Very Good
0.71,60.0,57.0,5.84,5.9,3.52,2807,Very Good
0.93,61.9,57.0,6.21,6.19,3.84,2807,Premium
0.8,62.8,57.0,5.87,5.91,3.7,2808,Very Good
0.7,62.0,57.0,5.64,5.71,3.52,2808,Very Good
1.0,66.4,59.0,6.16,6.09,4.07,2808,Fair
0.75,63.4,56.0,5.78,5.74,3.65,2808,Very Good
0.58,60.9,56.0,5.41,5.43,3.3,2808,Ideal
0.73,63.1,57.0,5.74,5.7,3.61,2808,Very Good
0.81,63.1,59.0,5.85,5.79,3.67,2809,Very Good
0.81,59.2,57.0,6.15,6.05,3.61,2809,Premium
0.71,60.7,54.0,5.84,5.8,3.53,2809,Premium
1.2,64.6,56.0,6.73,6.66,4.33,2809,Fair
0.7,61.8,56.0,5.63,5.7,3.5,2810,Very Good
0.7,59.9,60.0,5.77,5.84,3.48,2810,Very Good
0.74,61.7,55.0,5.81,5.85,3.6,2810,Ideal
0.7,62.8,61.0,5.57,5.61,3.51,2810,Good
0.8,62.7,57.0,5.84,5.93,3.69,2810,Good
0.75,63.4,58.0,5.72,5.76,3.64,2811,Very Good
0.83,63.5,54.0,5.98,5.95,3.79,2811,Very Good
1.0,65.7,59.0,6.14,6.07,4.01,2811,Fair
0.99,68.1,56.0,6.21,6.06,4.18,2811,Fair
0.7,63.0,60.0,5.57,5.64,3.53,2812,Very Good
0.7,59.5,58.0,5.75,5.85,3.45,2812,Very Good
0.7,63.5,59.0,5.49,5.53,3.5,2812,Good
0.7,61.7,58.0,5.63,5.69,3.49,2812,Very Good
0.32,62.7,58.0,4.37,4.34,2.73,554,Premium
0.32,62.8,58.0,4.39,4.34,2.74,554,Premium
0.32,62.4,57.0,4.37,4.35,2.72,554,Ideal
0.32,61.0,59.0,4.39,4.36,2.67,554,Premium
0.32,63.1,56.0,4.39,4.36,2.76,554,Very Good
0.32,60.7,57.0,4.47,4.42,2.7,554,Ideal
0.3,60.9,59.0,4.31,4.29,2.62,554,Premium
0.3,60.1,55.0,4.41,4.38,2.64,554,Premium
0.3,62.9,58.0,4.28,4.24,2.68,554,Premium
0.3,63.3,56.0,4.29,4.27,2.71,554,Very Good
0.3,63.8,55.0,4.26,4.2,2.7,554,Good
0.3,62.9,57.0,4.27,4.22,2.67,554,Ideal
0.3,63.4,60.0,4.25,4.23,2.69,554,Very Good
0.32,63.9,55.0,4.36,4.34,2.78,554,Good
0.33,61.4,56.0,4.85,4.79,2.95,554,Ideal
0.29,61.9,55.0,4.28,4.33,2.66,555,Very Good
0.29,62.4,55.0,4.2,4.25,2.63,555,Very Good
0.31,61.8,58.0,4.32,4.35,2.68,555,Very Good
0.34,61.5,56.0,4.47,4.5,2.76,555,Ideal
0.34,60.4,57.0,4.54,4.57,2.75,555,Ideal
0.34,61.8,55.0,4.48,4.52,2.78,555,Ideal
0.34,62.0,56.0,4.5,4.53,2.8,555,Ideal
0.3,62.3,56.0,4.29,4.31,2.68,555,Ideal
0.29,61.6,56.0,4.26,4.31,2.64,555,Ideal
0.35,60.6,56.0,4.56,4.58,2.77,555,Ideal
0.43,58.4,62.0,4.94,5.0,2.9,555,Very Good
0.32,61.4,58.0,4.37,4.42,2.7,556,Very Good
0.36,61.9,56.0,4.54,4.57,2.82,556,Ideal
0.3,62.0,56.0,4.28,4.3,2.66,556,Ideal
0.26,61.5,57.0,4.09,4.12,2.52,556,Ideal
0.7,62.3,58.0,5.64,5.72,3.54,2812,Very Good
0.7,60.9,61.0,5.66,5.71,3.46,2812,Very Good
0.71,62.4,57.0,5.69,5.72,3.56,2812,Ideal
0.99,55.0,61.0,6.72,6.67,3.68,2812,Fair
0.73,58.6,60.0,5.92,5.89,3.46,2812,Premium
0.51,62.0,57.0,5.15,5.11,3.18,2812,Ideal
0.91,59.8,58.0,6.3,6.29,3.77,2813,Premium
0.84,63.4,55.0,6.0,5.95,3.79,2813,Very Good
0.91,64.3,58.0,6.09,6.05,3.9,2813,Good
0.76,62.2,59.0,5.86,5.81,3.63,2814,Premium
0.76,61.7,57.0,5.88,5.85,3.62,2814,Ideal
0.75,61.1,59.0,5.86,5.83,3.57,2814,Premium
0.55,61.5,56.0,5.23,5.27,3.23,2815,Very Good
0.76,58.5,62.0,5.93,6.01,3.49,2815,Very Good
0.74,61.7,58.0,5.79,5.81,3.58,2815,Premium
0.7,60.4,56.0,5.75,5.81,3.49,2815,Ideal
0.7,61.4,56.0,5.7,5.76,3.52,2815,Ideal
0.7,61.5,55.0,5.73,5.79,3.54,2815,Ideal
0.7,61.4,56.0,5.72,5.77,3.53,2815,Ideal
0.9,65.0,56.0,6.08,6.04,3.94,2815,Fair
0.95,56.0,60.0,6.62,6.53,3.68,2815,Fair
0.89,60.2,59.0,6.26,6.23,3.76,2815,Premium
0.72,58.3,58.0,5.99,5.92,3.47,2815,Premium
0.96,53.1,63.0,6.73,6.65,3.55,2815,Fair
1.02,60.3,58.0,6.55,6.5,3.94,2815,Premium
0.78,61.4,56.0,5.91,5.95,3.64,2816,Very Good
0.61,60.1,57.0,5.52,5.54,3.32,2816,Ideal
